Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-5867,TORRENT des ACLES 1,WW1,45.009063,6.698081,JN35IA
FBOTA,227,B/F-5868,La REYRARDE,WW1,45.00843,6.690935,JN35IA
FBOTA,227,B/F-5869,PLAMPINET Nord 2,WW1,45.005521,6.662542,JN35HA
FBOTA,227,B/F-5870,PLAMPINET Nord 1,WW1,45.005344,6.662307,JN35HA
FBOTA,227,B/F-5871,MORAINE de PECE 1,WW1,45.004703,6.685055,JN35IA
FBOTA,227,B/F-5872,PLAMPINET Nord 3,WW1,45.004596,6.663047,JN35HA
FBOTA,227,B/F-5873,MORAINE de PECE 2,WW1,45.004505,6.684677,JN35IA
FBOTA,227,B/F-5874,MORAINE de PECE 3,WW1,45.004195,6.68479,JN35IA
FBOTA,227,B/F-5875,MORAINE de PECE,WW1,45.003737,6.684878,JN35IA
FBOTA,227,B/F-5876,PLAMPINET Le SERRE 1,WW1,45.002541,6.658437,JN35HA
FBOTA,227,B/F-5877,CLEYDA,WW1,45.002324,6.674656,JN35IA
FBOTA,227,B/F-5878,PLAMPINET Le SERRE 2,WW1,45.002206,6.65652,JN35HA
FBOTA,227,B/F-5879,PLAMPINET,WW1,45.001866,6.66044,JN35HA
FBOTA,227,B/F-5880,POINTE de BUFFERE Nord,WW1,44.997741,6.555012,JN34GX
FBOTA,227,B/F-5881,POINTE de BUFFERE Sud,WW1,44.997623,6.555067,JN34GX
FBOTA,227,B/F-5882,L'OLIVE (Batterie caverne),WW1,44.997592,6.645916,JN34HX
FBOTA,227,B/F-5883,La TOUR du NORD 1,WW1,44.9953,6.66195,JN34HX
FBOTA,227,B/F-5884,COL de BUFFERE,WW1,44.990939,6.559852,JN34GX
FBOTA,227,B/F-5885,COL de BUFFERE,WW1,44.990145,6.560522,JN34GX
FBOTA,227,B/F-5886,COL de BUFFERE Ouest,WW1,44.987247,6.555807,JN34GX
FBOTA,227,B/F-5887,LENLON (L'ENLON),WW1,44.986317,6.638285,JN34HX
